id_item,link,point,cnt,keyword
29008,http://cr2.shopping.naver.com/adcr.nhn?x=RNP6Ke3TWBxwNCquX9D7Gf%2F%2F%2Fw%3D%3DsShJ8ON%2BLVbsWxIlL%2BlwckCdLKRre%2FvvrRBGhsOauTYR%2FEWorY0uOjlvS1wEVuLmMz0CquD6jr3cwV8WvBX8egx%2B0DLv%2FDN8TxH72kgKMl%2BsV6V1ki75UIt%2B8kvLYnJs%2FCcu%2Bm93qrA%2BfSSY%2FpPEsjDLuMJXjicxODhWnLX0FnxO4QlkbYx4ry86WBunfLuIW2pQeyAcpGrN3qdfeNy9TA7pEDR%2FrzOFqbqN2ozqwNap1o3UBDOw1t%2F5HskhbrKL13zvkQ5Ckr79oCAEd5bBmEOGe8roiR%2FGu8sPMQMfA7jCK%2B1p0t06t75sL9enLWaNwj%2FhM2ADlLm17PDj3rn%2Bv6NE4AYfSP5QpdT44pFIVdQ06tlKyZsKkLv3cJaVbgX8pn4eW394Kh4phEvCH7kRGF96dB9YKLrXpWoOY3Ad4t93Dqkn%2BVl9eevzgQVEVJGUvbNNXl7JYnl75BfkVyFAqmbDxTZHIWMFormuGr0zLFh8ImBMMHL7yBFJmgZHjsTzrt7%2Bn9bG0CxUXZxHrUb4nPnJHpTgzSWoDuqwTXYPasTA88mOjx3kP7KvF%2FTyBbfV6%2B1bu8VxcBBgwTBTDBMTRvHegUJJPjQ%2BJhGakne3BqLpOTZIBnRWCAZjCcZciBobAY4esyCPwf9xK3qEEMT1IqZkvgtE3KLqGYwcQPz0bSpxQfgqk26d3LUtysneb4pAXP%2BfI1O%2FNdHfh%2Bm%2FP35gBahSt7FArpwHGkMvW%2B9%2BIl4IuSD5k5G%2BsBDnhfstmMS58,4.7,6011,아쿠아 아이즈 (브라운)
31020,http://cr2.shopping.naver.com/adcr.nhn?x=wb6sZzDte8xMzBQ9BQslq%2F%2F%2F%2Fw%3D%3Ds7q8rJCy4fwo0az41W5dT5HZsx3C5L8ccg2RWjGlBqvl4e2z8lw7LqTIbRXnW7Bbr8iEvTt7lf4zhu8t2ekV%2Ft0OUSNioV2de0iK0qGJrVK4VevAmXW0LrlvtCoPEt3mF3EtNhssbKhI40RHllgzJkI3UY7aE8NLlAd5hvWqh6Ys0WHJtGi919bgab%2BasKvqJgRQdBOLpxhucBjbdVQHy1ZVa9Imy2ijEhGJMNyKfnptIEf%2Fd1IYNJ6SIQYkiLcal3F7l4sgShyIXLfPdrvBSL%2FJb%2BS%2BTvfDU3iywOu1JP1V1F2C6LgRpDYBVv%2F4SeuWMgaafvRRMLGnBaFVoqvkeBLTRcYALB7MRslzRfLrThw%2BrvmfwrSDy8PI4jOE5x48Htw1AH7usSXOgd6ydtlu9apnB%2FGCpFlgdo8HH5GxZWWfuJl8r4mA9Vm45zqlKBWYfBZnFMzwd22wMkA68nZTrjrxcxJ9wymo%2FXQuTMNPf6Qx1Vb1XzKmjD6Idarsaoct0rEaUcX0jgTeKstHoo8iewPerdvR5%2BKSmveyNQ1u338uQvVEPKxkolO6QTA2GOaE8dpGye4%2BvFTs8aYabxn3OvwLW8cOdz3DHplFVv2D0XiqJr6RFpGRjkpmlXtkiUE7cbvtyn96Hq0PWLS7ggSWE%2FZGUm5zMwl3RV7e9NuUu3jKFb%2FqXb7yt1mP6XIkXC4Ww%2B2cIC3JpIyWiBHiVn%2F4xfGPEWU6oZeTFn7YB%2BKZk6f%2FHw8nmuYhqRotY%2FoU%2B%2BpUSrI6vKVl2W0iQNZ8TAxB4Clw4iyDvOptwh57n%2BSx8BtA%3D,5.0,1,조말론 비타민 E 립 컨디셔너
31165,http://cr2.shopping.naver.com/adcr.nhn?x=vTtohMqv0ahc44aRat2GJv%2F%2F%2Fw%3D%3Ds1uEY%2FS0zwPPqpATqnjc1wjP2kHKHDDzUG36lZz%2BaJWph23keT634%2FRe4bIZVXb7lTeRmvEiQk1pSsorKMhnbT6B2Y7CiP4ZEMVlqpfZWDF4ORo%2FDGYJVJ%2Fuqkt1F5MUggnDgbDeu%2FvPCr71EnqJ8WFuoQIerot0VedjBntvNqrBxr8LzqYpB7z27aZEK3IFuYznLBM1u%2BQNSrjTdvceuY6AvcfwrnTLGjC0YbMlcwFItkcETWtVVYhhd8wMV2PAX3y4jtmiZlBeeVNCCaNBxIvA1v%2B5q2N9u9G%2FOeHVRsFZuNV5rjAdEBniM%2FlZH0I8HlfPVB2XEvXoUViMFpmEBDcYF%2Ba1KBPNGMq%2FcWOwouNmpM4qvNVand9wUvWZCQr%2FV5qm6oPgZAPnNSuhwKsQA01LEBQZwcn32x9nA%2Bp2jESsFmcUzPB3bbAyQDrydlOuOvFzEn3DKaj9dC5Mw09%2FpDHVVvVfMqaMPoh1quxqhy3SsRpRxfSOBN4qy0eijyJ7AXGV0T7BzF1dsf2U5SmL2S2xSvn%2FNqkF%2F08M7BuqLjB12kbJ7j68VOzxphpvGfc6%2FN01JuDSN3z4E%2B%2B4HvjEjAaWG5pw8ZFBCKJ%2BOQLOio1o0dcaoMhDjfE763cjm%2FxlWCSNbG0KJKg06S0Zb4NUOrXvCBXEJ06xOH6L1RO%2Fwaehb7mnXLsT4pR8rYZM6nLAVPBxUOjcxtEqrwGpohf42yBCqD4OhfFTs34MeL6dYSansJalAhyqex6Ya%2BipIGATf,4.8,43926,시세이도 센카 퍼펙트 휩
31165,http://cr2.shopping.naver.com/adcr.nhn?x=ojtiKt%2BijUFC3h5hHBe3zf%2F%2F%2Fw%3D%3DsS5hqB61JPs4E5gVjFnQY8jo%2BhcxNojqZnqz0GPpkmyLixJ7q65cfq3PfvSY8vTwM882e68Cv2pcrvlIlEwbnAIGoWtKKlue7g5KbZ4KJt8IBjhYlc2JGHNhUoDTSYWrza2VQx5b84UceJKx67WGz2C0eBR9A216rp9hXcDgTD2NUL8b1Oq95Gs78pTfMpQNthiUUB1%2FU4Wx62w9MIgGcCz0ON0%2FzoU6YFgPwpCpdJj8LUCFFFVMC9FD3z7oYAfW9EoY1BzOTVNf19%2B4N8yWonvs71Y3TKzjhq2t%2BBigMnuP4jyMPZui%2Fftvu3WBt%2By6xzV6cPVUR4KA6MxO11AT1aS%2BBF7Czp8JggvQVssZMX9p%2FHp2qG%2Bnq%2BlD36mj4tefjJC4oea5q0zMZXMlUEn07KzSBPP3YPMni92EuqYts9WIQ3egFeRp1vkE1xNYXAthcUm2Z7cNqEiK5CuTGphadN4LIaHrl4IE1YXfYsjwXrI7DY271zd1sYmrtIel2dncsYxih2DNfD0LBjjio473ALJhdQhHZFbBLo4AuBkYIH2%2FlcseI6r4U8L%2B%2BsKcUCdJXBaC3gPOxLKXN2OTYdBdVYy1aEodooADeBGQlJ%2BH5GzwZaO1NXbgkpTBydkG%2FwTW61xJobpc3713FE3LgpmheGSVHxizFSPp%2Fc%2BffDUqhth22qUYAi0NRK4xpXl2b2Fo5KCaM4pqgfzt0rraja7%2BkphU5D%2B9lU4OnEFP7mxqlWl02t4lJFoi%2FHg5EnhRu%2BDCp,4.8,714,시세이도 센카 퍼펙트 휩
31165,http://cr2.shopping.naver.com/adcr.nhn?x=rZXYEEHadynxCDGv2uqkxP%2F%2F%2Fw%3D%3Dsr9Q8voqIdC8rEYFYhbxH8n6jYropOeqyobsr%2BZsimYE8b6M4tKtVRycXiLV8miCtacGlokljxP8N4BYd%2BJWIr%2BspA%2BmiKVHi%2FqzE8%2BYjc7ao9GUdIHWReZHlDUajQ7U2OejKkzE%2FS10uaWFlXQKyjPFkqOmZcm7jOBLWACpd%2F3foKoKnbZtcsHgdC5J0EoxEZXJ%2Fh8R4jCmLVYlH%2Fn%2BlF5GRa17jWvqT1GFyFPiPEAgivl0QeYsCV9uAPsYP9asc0NjVkLnZLnxyCrtUs%2BNOtlP%2FXOTN%2FyEzfKI5ExIO4W8Wb9qsbTrqynQKdBLPypSGnnyKV9JZV1eywEQOyNLSKkQX2RDkG9SLWLVVMdOJ3Whygf8x6aLXnZDvgbd3l29pq5LOmSa30Fnk3snr4oaaOY5yXxu1pp1ctOjsLmU%2FPCRZgn0%2BHqMDi182yk8xO7pIb7N3PoO%2FoIRas%2BwinmJ%2FBLtN7WT3YMDZAkC6DkXxJpgb8swcQlcgrZRqsCZJ99GTJCzFNWWC8%2F%2FyPY1IWIjoY6lX5LsmIQlSCmhypcwGSDDr%2FM2YOWbvcXxfYHX0TzwZqQHEy5AKwFb0y7BRVeV68rRq64Qt%2B4Ni3EnqE7Flz%2BtlaLCMFj2vSprdZ3noqN2FGIJf00tg3JzufK68R4XxLI5MPAqVQCHfJ0gNEUup0GPKmxVaY4r10hITwNjBBzebCMQAwtrCdGf6ZepXkeBg7y%2B5ps8MOwAG8oGRmiJddyACI0eNxFmNvPcs7jeb%2FsDvflFrHGisK3jI6hLbO4GKJZUnN%2BNAGit5eMrRXZ6khJE%3D,4.8,813,시세이도 센카 퍼펙트 휩
31165,http://cr2.shopping.naver.com/adcr.nhn?x=uxwLhzs9%2FR9wPFSQNB8To%2F%2F%2F%2Fw%3D%3DsxTQXFBexPGdmwXZM5HHlrGKdflMGd07eA5bJy%2F%2FGCMnixJ7q65cfq3PfvSY8vTwM882e68Cv2pcrvlIlEwbnABCvvpLJ6b%2F%2BUu1v082Y7yGwmhWVi%2FiJrukF0gqZfG0qOejKkzE%2FS10uaWFlXQKyjPFkqOmZcm7jOBLWACpd%2F3foKoKnbZtcsHgdC5J0EoxEZXJ%2Fh8R4jCmLVYlH%2Fn%2BlF5GRa17jWvqT1GFyFPiPEAgivl0QeYsCV9uAPsYP9asc0NjVkLnZLnxyCrtUs%2BNOtg%2FVehzaQvIVwbt0y9RhObZyUYhU5L3OIrqrbsh3nvqHLIK2qE617H5%2F9DE2W50%2BgHzdje4rqWW4fgI%2BXw7IMk3k2RJjxrzN8HjtKddbeuM21J1f%2FnzS%2BDETL%2BgXeUS8ijYeTsALYOPVkKUiwjNRJX6q3fQBk8h3FOInDlq9Borr8KCjQPDIed7ZZqPVbSUFXB3fIBMPZc5fkShT%2BAFLZ7RG6WxmL6JlLJQ15ICOAJLBSBb58biM6Ziir%2B%2FjWgtTHlFBKSr8upfQIBNJIo%2FCyRLlcseI6r4U8L%2B%2BsKcUCdJXOKfqe%2FV7nTmrEgrtu1T7zTjwUvK1flv4P51mpVYyxpIZaO1NXbgkpTBydkG%2FwTW6rpL17seFe2EFXz8OBPJL%2FoQrqIYWp3bMN9rVlkQY2844ka6PIgRjs0rneuhCfkwoah3X4KCIv3wQ5dk5c0qs5tAgqRlaeOlCefv3GelNRAxuuYEsRf%2B5MQmPrzFegr4uflFrHGisK3jI6hLbO4GKJZUnN%2BNAGit5eMrRXZ6khJE%3D,4.8,102,시세이도 센카 퍼펙트 휩
22967,http://cr2.shopping.naver.com/adcr.nhn?x=rj26S3scL1PX9Au1QfkTgP%2F%2F%2Fw%3D%3DsuMKy7ZWX%2Fva3EJmDrwKIkLxlRmUvqPGE07nM9lR0KSOtE7rZMn2XxvymXAwdu47un7edl9K%2B2McBKNI6tMu5UtK%2FNIZXEKf6WWySZfcInxbocSL%2BdohrI4gBANg%2FxKU2XLh9y2mB0Zai8o9wO3SoGZlwkM6fzQtd7AHCg%2FWWietPXaRPw5JAQzsYNNPE%2FGKvn6JMfpeBaBstUCPTIWLJve3s83WeUpjUSqOhIQoqA4jZ5vkbkUCLVUCS8%2FLd2Ghh4BhQGjbxDhxo6PfKt5xwPpaNWdTNTqb2foR6neHa%2F4MUuA5GdzCfVNx0kzHagCuPUappF%2BCOdESOSV7DVxRDlRM1xsUtTd1xiGmoCqFxDEVviE3sb4yL8O952kNA7t2pejneOLR0feh0DMLDzevtsPaG86PsHGKzqN9AOVgDsRBjOcsEzW75A1KuNN29x65jr9UKO3zNyf3v1YZ4%2BSY0Hj70eUtzBzAvuV%2FSEH06pBrwiXmhwSi6Wo6bOxFrjZtRgp6Agvn938NHUs0x2Botodcujm44qu07wAn5yuAZ5jdUSRsHelZYQFWisMwLCM8kFQf3fWMMiI2zxb2SmvXsoYaHU0sfKyVnXaBjDIy65JRxtM4Eam7UeRyVGIxbKdrvJuU5zi4KwoxoTBDdOxX4k1aYZxhsTh%2B9uRadU86qjdEODaC5Wf0O7F6Yn04VsaSzq1b1FdvcA3ZZrGxPnD28XA%3D%3D,4.8,4880,베네피트 단델리온
22967,http://cr2.shopping.naver.com/adcr.nhn?x=StAN0wwdlpj1hk%2B%2BY2p4M%2F%2F%2F%2Fw%3D%3DsnHxk7EVnC%2Bh2z4HL0vL8bhDMzcYfMSONeVJdsM0qw96Zr21jfLT5fg%2FQybNaH7tAMFr688Dt5jp7q1bqUbXPb96xBW1BMyTWlAv6%2FiWk7KP%2BgQVhvjN5IYGd69zxV3FUHvLKBvko3p5gQKCjAm%2BaLsnVyec0NWyncZ9%2BRMfJLgyZSYkMRnxla3UjB1UB%2F5SEUtDJRPWYadGXXsZSxq0evyD7D%2FhC8NsPVKDhdEPk4%2FqHKtNMI02236lNoC%2BKK3RSpLvG15y7EC3wInKLVHlMMXjzV8f%2FZN4G2l7GF%2FBNt1LVepzXiin%2FwsXBXjENr9eRIXcObnBTzJrgJuVnrGP%2FMWViMRLYqhA66ofishMcBR2SCw%2Bn%2By0hLXm5ugw9RWeAXPhIXtAdniRJWIUD5gw227RRY4qjtG%2BIjjGz0VRCHWWGJRQHX9ThbHrbD0wiAZwLlr2MJibGuG71Ivr98%2FRFYS3cDQosRlq2vuVtmOyZFRHqqt0y270Zg52U7gGebRQdEl%2FiWAWyyIM8iZn%2F2zj9OHa7dfXU4fLXHtdJYyyjz8La%2B6H4xDjScfwdaNdWBSiWl6OEbt1mTBMMhteOarcmZhCZWeIf8pN%2FiPn7vlO5ywObpLdb6WZ7INEOxHfMgouymjM8uPl4CGWehrQz9anenPH93N39sWyW2G1K3TCV26kuHs6UzFQoHazdpJegBSwg8IHZIbxNb5OA4dnaUf9ny%2FW3vcG2HGxAXCibeBj7M3c%3D,4.8,1193,베네피트 단델리온
22967,http://cr2.shopping.naver.com/adcr.nhn?x=QwJoCIb2Dkbw42CeruhmIf%2F%2F%2Fw%3D%3DsrWmoKeq6WimWZVhXsn5Zd6t3HNxXkS3YdYCrcSOX2fL5LJTzG%2FbqVCFqhw%2FMpHR0Unrm8kUIavTyaZM%2F7xcCbCIeHst3p0D8zkjUjSrhQdb%2BgQVhvjN5IYGd69zxV3FUHvLKBvko3p5gQKCjAm%2BaLsnVyec0NWyncZ9%2BRMfJLgyZSYkMRnxla3UjB1UB%2F5SEUtDJRPWYadGXXsZSxq0evyD7D%2FhC8NsPVKDhdEPk4%2FqHKtNMI02236lNoC%2BKK3RSR%2FJkuOegG%2BWnauX%2FNJFY4V%2FgV0oSUjO%2Bj7%2FoDowJCHLVepzXiin%2FwsXBXjENr9eRIXcObnBTzJrgJuVnrGP%2FMWViMRLYqhA66ofishMcBR2SCw%2Bn%2By0hLXm5ugw9RWeAXPhIXtAdniRJWIUD5gw227RRY4qjtG%2BIjjGz0VRCHWWGJRQHX9ThbHrbD0wiAZwLlr2MJibGuG71Ivr98%2FRFYS3cDQosRlq2vuVtmOyZFREO7UjQCjkWoOLBqCuDs%2Fq5El%2FiWAWyyIM8iZn%2F2zj9OHa7dfXU4fLXHtdJYyyjz8JYH14MoUDYxC%2FBg8qroaPtl6OEbt1mTBMMhteOarcmZo9X8apB1SGYSZgbKkDIPKkeERJJvQScsvq9JtzbuWA0r4uYwRVUGIdq7uHsAfCP%2ByrxOL5UZDo%2B7zxjlooSy4VJecsI0gpTnpIFx2sP7%2FsqXnWm%2B9CwJQa%2B8HmOAFj5RZtWS1sPhecfFh%2FgAGr0FqY%3D,4.8,97,베네피트 단델리온
22967,http://cr2.shopping.naver.com/adcr.nhn?x=clQcf2yCDFWx55q6ZozQJ%2F%2F%2F%2Fw%3D%3DsM3Af1gcalj9S8PoQrP2dSr1o%2FssZ4Ophxku%2FRMkVdaetE7rZMn2XxvymXAwdu47un7edl9K%2B2McBKNI6tMu5Uls1k9uH9b5gX5LelrlwjcPmqF0rHxzt8YPQTnPtc1xpa9iQMY0C%2BFFyU4e217U0J8vyvUQifp78YiXA5WNmY3DIbbhg5x8PLirCP%2FTnL3Qtkz5GJ7mPsmrarfWSpoxVGHh9%2FImC6a0fTpLPIlEKl0J2qoeldtHlbIz2WcaQJEdJMZvu%2FHcUDLLa61wXyv5z5VDHl2z%2F1A0Yo9O95nKvzkApCjmQRtktFp2uzVG7qv67T49dTBBUWZH9LjGq2thNarsMkybvF9y0I%2FltrlB0wKWt60CQheBPbyxK68vLsVUkEN3oBXkadb5BNcTWFwLYXFJtme3DahIiuQrkxqYWnTeCyGh65eCBNWF32LI8F6yOw2Nu9c3dbGJq7SHpdnZ3LGMYodgzXw9CwY44qOO9wCymae%2BdZ67g91mk3sqek7kA2xVe3yUI5eTF5gZdZ8BvHoJYT0fW0wXD0rhpQY3rceJNouNugv7BuTGQMy0L7W4EGWjtTV24JKUwcnZBv8E1upFlqMOc1WFs6k0NJCuWrVkpsFN9URWKQWiyO7wazhC%2F%2BLIEeT56MhM%2BqRjp%2B9kLe098%2FMyfpT3B7iW4GegmOiAxz5bvH%2BvAs7UWixRlFgF8yHRX6FIXtm354sFDC%2FeS3g%3D%3D,4.8,77,베네피트 단델리온
